Iphoto vs Time
Notes: 90 pol, 30 mW, 9.45 mW on sample, on junction
Filename and original path: C:\Documents and Settings\Pavlo\Desktop\Data\2016\May 4\iphoto\1_9_1.txt
T_K
t_sec	Y1	X1	Idc	V	X	Y	Polarization	IphotoX2	IphotoY2	
0.00000E+0	0.00000E+0	1.21343E-2	1.74000E-4	9.44323E-3	-6.23900E-6	2.04000E-7	9.00001E+1	-1.70000E-7	8.00000E-8
5.00000E-1	0.00000E+0	1.21343E-2	1.79000E-4	9.44393E-3	-6.21150E-6	2.18500E-7	9.00001E+1	-1.70000E-7	8.00000E-8
1.00000E+0	0.00000E+0	1.21343E-2	1.74000E-4	9.44603E-3	-6.20700E-6	2.21000E-7	9.00001E+1	-1.60000E-7	7.00000E-8
1.50000E+0	0.00000E+0	1.21343E-2	1.69000E-4	9.45584E-3	-6.25900E-6	2.10500E-7	9.00001E+1	-1.70000E-7	7.00000E-8
2.00000E+0	0.00000E+0	1.21343E-2	1.75000E-4	9.43832E-3	-6.25050E-6	2.55000E-7	9.00001E+1	-1.70000E-7	7.00000E-8
2.50000E+0	0.00000E+0	1.21343E-2	1.77000E-4	9.45304E-3	-6.24850E-6	2.46500E-7	9.00001E+1	-1.70000E-7	7.00000E-8
3.00000E+0	0.00000E+0	1.21343E-2	1.74000E-4	9.44953E-3	-6.19150E-6	1.98500E-7	9.00001E+1	-1.70000E-7	7.00000E-8
3.50000E+0	0.00000E+0	1.21343E-2	1.79000E-4	9.44323E-3	-6.25800E-6	2.33500E-7	9.00001E+1	-1.60000E-7	7.00000E-8
4.00000E+0	0.00000E+0	1.21343E-2	1.75000E-4	9.45584E-3	-6.21850E-6	2.00500E-7	9.00001E+1	-1.70000E-7	7.00000E-8
4.50000E+0	0.00000E+0	1.21343E-2	1.70000E-4	9.45864E-3	-6.24700E-6	2.19000E-7	9.00001E+1	-1.70000E-7	8.00000E-8
5.00000E+0	0.00000E+0	1.21343E-2	1.75000E-4	9.45934E-3	-6.27550E-6	2.37000E-7	9.00001E+1	-1.70000E-7	7.00000E-8
5.50000E+0	0.00000E+0	1.21343E-2	1.72000E-4	9.44603E-3	-6.12900E-6	2.14000E-7	9.00001E+1	-1.70000E-7	7.00000E-8
